colormap,representative,led_lcd,oled,wide_gamut,band
ember (melanopy),0.2882,0.2434,0.3338,0.284,0.0904
hot,0.4382,0.3847,0.4817,0.4342,0.0971
copper,0.4859,0.4562,0.5177,0.4829,0.0615
inferno,0.4967,0.4752,0.5246,0.494,0.0494
afmhot,0.566,0.5182,0.6023,0.5627,0.084
cividis,0.7156,0.6712,0.7448,0.7129,0.0737
magma,0.7162,0.7401,0.717,0.7159,0.0242
plasma,0.7221,0.748,0.7218,0.7219,0.0262
turbo,0.7949,0.7519,0.8206,0.7927,0.0688
viridis,0.834,0.7658,0.8687,0.831,0.1029
jet,0.9676,0.9563,0.9735,0.9671,0.0172
equinox (melanopy),0.9992,0.9847,1.0054,0.9987,0.0207
gray,1.0,1.0,1.0,1.0,0.0
Blues,1.3337,1.374,1.3043,1.3364,0.0697
glacier (melanopy),1.7284,1.7961,1.6727,1.7335,0.1235
winter,1.7599,1.8324,1.701,1.7653,0.1314
cool,2.0611,2.2559,1.9399,2.0719,0.316
